#,Thermostat,identifier,511893837731,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2,
2018-11-12,12:40:00,heat,heatOff,,Home,74,68,67.8,48,40.9,0,0,0,0,,70.1,48,0,65.6,1,
2018-11-12,12:45:00,heat,heatOff,,Home,74,68,67.7,46,40.9,0,0,0,0,,70.1,46,0,65.5,0,
2018-11-12,12:50:00,heat,heatOff,,Home,74,68,67.7,46,40.9,0,0,0,0,,70.1,46,1,65.4,0,
2018-11-12,12:55:00,heat,heatOff,,Home,74,68,67.6,46,40.9,0,0,0,0,,70,46,0,65.3,0,
2018-11-12,13:00:00,heat,heatOff,,Home,74,68,67.5,46,39.9,0,0,60,60,,69.9,46,0,65.2,0,
2018-11-12,13:05:00,heat,heatStage1On,,Home,74,68,67.3,48,39.9,0,0,300,300,,69.6,48,1,65.1,0,
2018-11-12,13:10:00,heat,heatStage1On,,Home,74,68,67.2,48,39.9,0,0,225,270,,68.9,48,0,65.6,0,
2018-11-12,13:15:00,heat,heatOff,,Home,74,68,67.7,48,39.9,0,0,0,0,,68.6,48,0,66.8,0,
2018-11-12,13:20:00,heat,heatOff,,Home,74,68,68.2,48,39.9,0,0,0,0,,68.7,48,1,67.7,0,
2018-11-12,13:25:00,heat,heatOff,,Home,74,68,68.4,48,39.9,0,0,0,0,,69,48,1,67.4,0,
2018-11-12,13:30:00,heat,heatOff,,Home,74,68,68.5,47,40.3,0,0,0,0,,69.2,47,1,67,0,
2018-11-12,13:35:00,heat,heatOff,,Home,74,68,68.8,46,40.3,0,0,0,0,,69.4,46,0,66.7,0,
2018-11-12,13:40:00,heat,heatOff,,Home,74,68,69.4,47,40.3,0,0,0,0,,69.6,47,1,66.4,0,
2018-11-12,13:45:00,heat,heatOff,,Home,74,68,69.8,46,40.3,0,0,0,0,,69.8,46,0,66.2,0,
2018-11-12,13:50:00,heat,heatOff,,Home,74,68,69.9,45,40.3,0,0,0,0,,69.9,45,0,66,0,
2018-11-12,13:55:00,heat,heatOff,,Home,74,68,70,45,40.3,0,0,0,0,,70,45,0,65.8,0,
2018-11-12,14:00:00,heat,heatOff,,Home,74,68,70,45,40.5,0,0,0,0,,70,45,1,65.8,0,
2018-11-12,14:05:00,heat,heatOff,,Home,74,68,69.9,46,40.5,0,0,0,0,,70,46,1,65.6,1,
2018-11-12,14:10:00,heat,heatOff,,Home,74,68,69.3,46,40.5,0,0,0,0,,70,46,1,65.6,1,
2018-11-12,14:15:00,heat,heatOff,,Home,74,68,68.9,46,40.5,0,0,0,0,,70,46,1,65.6,1,
2018-11-12,14:20:00,heat,heatOff,,Home,74,68,68.7,49,40.5,0,0,0,0,,70.1,49,1,65.8,0,
2018-11-12,14:25:00,heat,heatOff,,Home,74,68,68.7,50,40.5,0,0,0,0,,70.4,50,0,66,0,
2018-11-12,14:30:00,heat,heatOff,,Home,74,68,68.7,49,40.5,0,0,0,0,,70.8,49,0,66.2,0,
2018-11-12,14:35:00,heat,heatOff,,Home,74,68,68.7,48,40.5,0,0,0,0,,71.1,48,1,66.4,0,
2018-11-12,14:40:00,heat,heatOff,,Home,74,68,68.9,47,40.5,0,0,0,0,,71.3,47,0,66.6,0,
2018-11-12,14:45:00,heat,heatOff,,Home,74,68,69,47,40.5,0,0,0,0,,71.4,47,0,66.7,0,
2018-11-12,14:50:00,heat,heatOff,,Home,74,68,69.3,46,40.5,0,0,0,0,,71.5,46,1,66.8,0,
2018-11-12,14:55:00,heat,heatOff,,Home,74,68,69.6,47,40.5,0,0,0,0,,71.5,47,1,66.9,0,
2018-11-12,15:00:00,heat,heatOff,,Home,74,68,69.8,46,40.7,0,0,0,0,,71.4,46,1,66.9,0,
2018-11-12,15:05:00,heat,heatOff,,Home,74,68,70.1,47,40.7,0,0,0,0,,71.3,47,0,66.9,0,
2018-11-12,15:10:00,heat,heatOff,,Home,74,68,70.4,48,40.7,0,0,0,0,,71.1,48,0,66.9,0,
2018-11-12,15:15:00,heat,heatOff,,Home,74,68,70.8,48,40.7,0,0,0,0,,71,48,0,66.9,0,
